division_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id
404,1977,1979,Y,15-49,Other,MW,0.044,0.025,NA,0.025,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,753,Y_734
120,1978,1979,Y,15-49,Other,MW,0.006,0.018,0.024,NA,NA,N,NA,N,,N,NA,-,None,N,NA,N,NA,NA,NA,NA,NA,NA,776,Y_739
524,1985,1987,Y,15-49,Other,MW,0.151,NA,0.151,NA,NA,N,NA,N,,Y,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,781,Y_742
586,1979,1981,Y,15-49,Other,MW,NA,NA,0.033,NA,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,798,Y_751
50,1985.915039,1986.246582,Y,15-49,National survey,MW,0.184,0.069,NA,0.069,NA,N,NA,N,,N,NA,?,None,N,NA,N,NA,NA,NA,NA,NA,NA,801,Y_752
104,2001,2002,Y,15-49,National survey,MW,0.289,0.036,NA,NA,0.191,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,816,Y_761
524,1976.249268,1976.49585,Y,15-49,Other,MW,0.024,0,NA,0,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,818,Y_762
50,1979.665771,1980,Y,15-49,Other,MW,0.088,0.033,NA,0.033,NA,N,NA,N,,N,NA,?,None,N,NA,N,NA,NA,NA,NA,NA,NA,822,Y_765
50,1988.917847,1989.246582,Y,15-49,National survey,MW,0.232,0.076,NA,0.076,NA,N,NA,N,,N,NA,?,None,N,NA,N,NA,NA,NA,NA,NA,NA,828,Y_770
800,2004.583618,2005.082153,Y,15-49,DHS,MW,0.187,0.01,NA,0.01,NA,N,NA,N,,N,NA,None,None,Y,NA,N,NA,NA,NA,NA,NA,NA,830,Y_771
834,1999.665771,1999.912354,Y,15-49,DHS,MW,0.1871734,0.066480688,NA,NA,0.225739586,N,NA,N,,N,NA,None,None,N,NA,N,0.01637403,0.007719551,0.011210818000000001,0.107690045,0.123656039,0.071600462,831,Y_772
120,1998.084961,1998.493164,Y,15-49,DHS,MW,0.071,0.123,0.193,NA,0.207110235,N,NA,N,,N,NA,None,None,N,NA,N,0.006219497,0.009427012,0.008884212,0.102547616,0.093288739,0.061519072,1674,Y_780
834,1994.49585,1994.745239,Y,15-49,DHS,MW,0.131,0.074,NA,NA,0.273,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,1677,Y_783
834,1991.747925,1992.246582,Y,15-49,DHS,MW,0.065563573,0.038706126,NA,NA,0.277692801,N,NA,N,,N,NA,None,None,N,NA,N,0.006380176,0.003700143,0.007644975,0.104392289,0.099765327,0.042866042,1678,Y_784
834,1996.498657,1996.915039,Y,15-49,DHS,MW,0.133081669,0.051179218,NA,NA,0.262178608,N,NA,N,,N,NA,None,None,N,NA,N,0.007712036,0.003854219,0.006820447,0.067940591,0.081328234,0.037080547,1679,Y_785
562,1998.161621,1998.578125,Y,15-49,DHS,MW,0.046044457,0.036010836,NA,NA,0.177156045,N,NA,N,,N,NA,None,None,N,NA,N,0.004627062,0.003995024,0.006109156,0.105680478,0.115469979,0.043059766,1680,Y_786
466,2006.328735,2006.997314,Y,15-49,DHS,MW,0.068773343,0.013650252,NA,NA,0.275888378,N,NA,N,,N,NA,None,None,N,NA,N,0.004306115,0.001682574,0.006507972,0.068014194,0.126929397,0.035374361,1682,Y_788
404,2003.246582,2003.745239,Y,15-49,DHS,MW,0.315354126,0.077808952,NA,NA,0.274079014,N,NA,N,,N,NA,None,None,N,NA,N,0.009143841,0.004007131,0.006740311,0.057309448,0.075214991,0.050902128,1692,Y_797
716,1988.668457,1989.082153,Y,15-49,DHS,MW,0.36133182,0.069617858,NA,0.069617858,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,1697,Y_802
